Area_Name,Year,Group_Name,Sub_Group_Name,Auto_Theft_Recovered
Assam,2001,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,94
Assam,2002,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,115
Assam,2003,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,58
Assam,2004,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,84
Assam,2005,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,181
Assam,2006,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,248
Assam,2007,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,241
Assam,2008,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,134
Assam,2009,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,214
Assam,2010,AT1-Motor Cycles/ Scooters,1. Motor Cycles/ Scooters,126
Assam,2001,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,4
Assam,2002,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,7
Assam,2003,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,67
Assam,2004,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,52
Assam,2005,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,72
Assam,2006,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,117
Assam,2007,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,101
Assam,2008,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,86
Assam,2009,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,97
Assam,2010,AT2-Motor Car/Taxi/Jeep,2. Motor Car/Taxi/Jeep,32
Assam,2001,AT3-Buses,3. Buses,0
Assam,2003,AT3-Buses,3. Buses,0
Assam,2004,AT3-Buses,3. Buses,4
Assam,2005,AT3-Buses,3. Buses,6
Assam,2006,AT3-Buses,3. Buses,4
Assam,2007,AT3-Buses,3. Buses,6
Assam,2008,AT3-Buses,3. Buses,2
Assam,2009,AT3-Buses,3. Buses,3
Assam,2010,AT3-Buses,3. Buses,2
Assam,2001,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),0
Assam,2002,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),0
Assam,2003,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),0
Assam,2004,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),0
Assam,2005,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),5
Assam,2006,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),15
Assam,2007,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),31
Assam,2008,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),7
Assam,2009,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),11
Assam,2010,AT4-Goods carrying vehicles (Trucks/Tempo etc),4. Goods carrying vehicles (Trucks/Tempo etc),3
Assam,2001,AT5-Other Motor vehicles,5. Other Motor vehicles,51
Assam,2002,AT5-Other Motor vehicles,5. Other Motor vehicles,48
Assam,2003,AT5-Other Motor vehicles,5. Other Motor vehicles,7
Assam,2004,AT5-Other Motor vehicles,5. Other Motor vehicles,26
Assam,2005,AT5-Other Motor vehicles,5. Other Motor vehicles,3
Assam,2006,AT5-Other Motor vehicles,5. Other Motor vehicles,69
Assam,2007,AT5-Other Motor vehicles,5. Other Motor vehicles,218
Assam,2008,AT5-Other Motor vehicles,5. Other Motor vehicles,69
Assam,2009,AT5-Other Motor vehicles,5. Other Motor vehicles,2
Assam,2010,AT5-Other Motor vehicles,5. Other Motor vehicles,3
Assam,2001,AT6-Total,6. Total (Sum of 1-5 Above),149
Assam,2002,AT6-Total,6. Total (Sum of 1-5 Above),170
Assam,2003,AT6-Total,6. Total (Sum of 1-5 Above),132
Assam,2004,AT6-Total,6. Total (Sum of 1-5 Above),166
Assam,2005,AT6-Total,6. Total (Sum of 1-5 Above),267
Assam,2006,AT6-Total,6. Total (Sum of 1-5 Above),453
Assam,2007,AT6-Total,6. Total (Sum of 1-5 Above),597
Assam,2008,AT6-Total,6. Total (Sum of 1-5 Above),298
Assam,2009,AT6-Total,6. Total (Sum of 1-5 Above),327
Assam,2010,AT6-Total,6. Total (Sum of 1-5 Above),166
